lineup_key,archetype_lineup,possessions,minutes,points,fga_2pt,fga_3pt,fgm_2pt,fgm_3pt,ftm,fta,pts_2pt,pts_3pt,pts_ft,ast,tov,w_pct,plus_minus,off_rating,pace,ast_pct,ast_to,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_ft,pct_pts_off_tov,pct_pts_paint
0_2_3_4_5,0_2_3_4_5,10563,5281.5,3426,1315,0,1315,0,0,0,2630,0,0,0,0,1.0,3426,32.43396762283442,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_5_6,0_2_3_5_6,1424,712.0,470,181,0,181,0,0,0,362,0,0,0,0,1.0,470,33.00561797752809,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_3_5,0_2_3_3_5,8197,4098.5,2689,1025,0,1025,0,0,0,2050,0,0,0,0,1.0,2689,32.804684640722215,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_2_3_3_5,2_2_3_3_5,417,208.5,124,46,0,46,0,0,0,92,0,0,0,0,1.0,124,29.73621103117506,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_1_5_5,0_0_1_5_5,1790,895.0,589,228,0,228,0,0,0,456,0,0,0,0,1.0,589,32.9050279329609,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_3_3,0_0_0_3_3,5052,2526.0,1457,534,0,534,0,0,0,1068,0,0,0,0,1.0,1457,28.84006334125099,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_5_7_7,2_3_5_7_7,673,336.5,247,96,0,96,0,0,0,192,0,0,0,0,1.0,247,36.701337295690934,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
2_3_3_7_7,2_3_3_7_7,241,120.5,81,32,0,32,0,0,0,64,0,0,0,0,1.0,81,33.60995850622407,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_2_3_3_7,0_2_3_3_7,2696,1348.0,859,322,0,322,0,0,0,644,0,0,0,0,1.0,859,31.862017804154302,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_0_0_2_7,0_0_0_2_7,1068,534.0,317,116,0,116,0,0,0,232,0,0,0,0,1.0,317,29.681647940074907,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
0_1_2_3_5,0_1_2_3_5,189,94.5,51,14,0,14,0,0,0,28,0,0,0,0,1.0,51,26.984126984126984,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
3_3_5_5_7,3_3_5_5_7,46,23.0,15,5,0,5,0,0,0,10,0,0,0,0,1.0,15,32.608695652173914,100.0,0.0,0,100.0,0.0,100.0,30.0,0.0,0.0,0.0,80.0
