,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_rep[4529],-0.114807,0.0231367,0.979436,0.953958,-1.73476,-0.102489,1.53707,1771.35,1886.35,67.8028,1.0019
y_rep[4530],0.0471884,0.0234923,1.01522,1.01653,-1.5831,0.0285694,1.69009,1879.08,1814.88,71.9266,0.999736
y_rep[4531],-0.0623012,0.0223278,0.999011,0.994949,-1.71902,-0.0392121,1.52276,1999.94,2047.88,76.5529,0.999766
y_rep[4532],-0.0538866,0.0228801,0.991827,1.00804,-1.71589,-0.0571342,1.57485,1881.9,2004.57,72.0346,0.99963
y_rep[4533],0.0829178,0.0224427,1.02451,1.02435,-1.59598,0.0854249,1.80698,2090.98,1924.61,80.0376,0.999832
y_rep[4534],0.0171776,0.0226905,1.0075,1.04111,-1.58466,-0.00874287,1.66544,1976.71,1925.61,75.6636,1.00015
y_rep[4535],-0.00732213,0.0227595,0.992711,0.988966,-1.61797,-0.0393764,1.60227,1908.08,1924.85,73.0365,1.00214
y_rep[4536],0.0423045,0.0227261,1.00016,0.982077,-1.62871,0.0383979,1.67955,1940.88,1924.68,74.2921,0.999391
y_rep[4537],-0.307827,0.0219046,1.00511,1.00671,-1.9403,-0.309072,1.32645,2107.88,2005.02,80.6843,0.999959
y_rep[4538],0.0536433,0.0245571,1.00572,1.0295,-1.67839,0.077056,1.71402,1691.31,1703.14,64.739,1.00167
y_rep[4539],0.0923338,0.0230153,1.02274,0.984091,-1.63043,0.0993638,1.79003,1974.9,1822.64,75.5944,1.00124
y_rep[4540],0.0461086,0.0225371,1.00924,0.98958,-1.64968,0.0540703,1.71284,2013.04,1961.89,77.0541,0.999088
y_rep[4541],0.158546,0.021379,0.993567,1.01419,-1.44806,0.171385,1.79798,2170.66,1887.95,83.0875,1.00006
y_rep[4542],-0.111922,0.0216114,0.992637,0.964183,-1.73736,-0.132883,1.5477,2115.76,1970.13,80.9861,0.999411
y_rep[4543],0.0208829,0.0233898,1.03255,1.03969,-1.69884,0.0423923,1.73072,1955.7,1723.94,74.8592,1.00069
y_rep[4544],0.12615,0.0226901,1.02368,1.05,-1.52965,0.119288,1.76169,2026.48,1897.33,77.5687,1.00101
y_rep[4545],-0.180727,0.0231229,1.02211,1.02729,-1.89009,-0.175904,1.45114,1961.93,1851.54,75.0976,0.999518
y_rep[4546],0.0298953,0.0232948,1.04457,1.13085,-1.6898,0.015786,1.7654,2012.39,1903.04,77.0294,1.00119
y_rep[4547],0.041897,0.0220185,0.996473,1.02373,-1.573,0.022756,1.74853,2062.07,1827.09,78.9308,0.999922
y_rep[4548],-0.033866,0.0231997,1.01595,1.01245,-1.77428,-0.0135399,1.60746,1917.66,1886.02,73.4033,0.999769
y_rep[4549],-0.2016,0.0228545,1.02888,1.06393,-1.93021,-0.180192,1.44456,2039.05,2093.68,78.0496,0.999959
y_rep[4550],0.00853444,0.0235184,1.00561,1.00626,-1.58967,0.00684955,1.70232,1817.4,1999.19,69.5657,1.00155
y_rep[4551],0.000324435,0.0221691,1.00442,0.995029,-1.71165,-0.00479305,1.65498,2055.69,2008.02,78.6867,0.999836
y_rep[4552],0.0806086,0.0222479,1.01783,1.0371,-1.64129,0.0877625,1.74743,2088.96,2092.5,79.9601,1.00196
y_rep[4553],0.0652048,0.0227526,1.00011,1.01089,-1.59938,0.0794864,1.66971,1929.53,1927.25,73.8576,0.999545
y_rep[4554],-0.0563232,0.0231752,1.00924,1.02258,-1.69673,-0.0928057,1.63597,1902.55,1819.73,72.825,1.00274
y_rep[4555],0.05229,0.023322,0.993568,0.996855,-1.61333,0.062323,1.68412,1822.41,1939.43,69.7575,1.00219
y_rep[4556],-0.0702185,0.0220537,0.980099,0.992015,-1.69145,-0.0491116,1.52298,1983.41,1745.31,75.92,0.999512
y_rep[4557],0.0634665,0.0222849,0.994769,0.983152,-1.60649,0.0677101,1.65817,2000.28,2061.78,76.5658,1.00008
y_rep[4558],-0.0177924,0.0232629,1.03035,1.03407,-1.71409,-0.0403704,1.70682,1963.16,1865.67,75.145,1.00088
