,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
y_pred[722],-0.70852,0.416788,1.318,1.37919,-2.72926,-0.608072,0.803247,5.0,5.0,357.143,1.26581
y_pred[723],-0.634163,0.228471,0.722488,0.799948,-1.76045,-0.560588,0.223924,5.0,5.0,357.143,0.932323
y_pred[724],-0.148928,0.344244,1.0886,1.11696,-1.91641,0.000206311,1.10094,5.0,5.0,357.143,1.0093
y_pred[725],-0.536969,0.333988,0.955656,1.0205,-1.91907,-0.49647,0.704957,5.0,5.0,357.143,1.05
y_pred[726],-0.287112,0.207033,0.654697,0.32193,-1.25081,-0.232399,0.631821,5.0,5.0,357.143,1.13188
y_pred[727],-0.311563,0.455943,1.44182,1.44496,-2.38719,-0.45782,1.6311,5.0,5.0,357.143,1.07282
y_pred[728],-0.558035,0.254316,0.804217,1.0923,-1.61901,-0.482709,0.483378,5.0,5.0,357.143,0.920715
y_pred[729],-0.552362,0.366156,1.00957,1.04863,-2.16025,-0.517296,0.592948,5.0,5.0,357.143,1.0093
y_pred[730],-0.242662,0.277632,0.877949,0.738757,-1.69709,-0.10715,0.664402,5.0,5.0,357.143,1.0093
y_pred[731],-0.0413211,0.230198,0.727948,0.770048,-0.859242,-0.0981785,1.08764,5.0,5.0,357.143,1.18184
y_pred[732],-0.474562,0.301495,0.95341,0.90692,-1.91275,-0.232802,0.627465,5.0,5.0,357.143,0.932323
y_pred[733],-0.744418,0.326066,1.03111,0.622672,-2.34153,-0.696742,0.470466,5.0,5.0,357.143,1.20178
y_pred[734],-0.612704,0.446873,1.41314,1.19193,-2.17556,-0.624271,1.70214,5.0,5.0,357.143,1.44339
y_pred[735],-0.298595,0.364069,1.15129,1.16776,-1.89802,-0.336425,1.09404,5.0,5.0,357.143,1.19295
y_pred[736],-1.27565,0.291141,0.92067,0.909613,-2.30602,-1.38202,0.163467,5.0,5.0,357.143,0.941895
y_pred[737],-0.383871,0.310387,0.981531,1.09916,-1.73968,-0.570743,0.893513,5.0,5.0,357.143,1.4156
y_pred[738],-0.218614,0.252822,0.799493,0.705725,-1.28836,-0.304328,0.954405,5.0,5.0,357.143,1.04943
y_pred[739],-0.434698,0.195321,0.617658,0.809399,-1.16665,-0.47771,0.405705,5.0,5.0,357.143,1.03528
y_pred[740],-0.805334,0.283847,0.776849,0.301397,-2.14184,-0.493676,-0.096494,5.0,5.0,357.143,0.995182
y_pred[741],-0.446301,0.307571,0.972626,1.14927,-1.83946,-0.433603,0.753442,5.0,5.0,357.143,1.42866
y_pred[742],-0.130836,0.45496,1.43871,1.7681,-2.12721,-0.198995,1.77155,5.0,5.0,357.143,0.940624
y_pred[743],-0.369669,0.263969,0.834744,0.987228,-1.39574,-0.416515,0.855395,5.0,5.0,357.143,1.30127
y_pred[744],-0.740154,0.346018,1.0942,0.854607,-2.03104,-1.05344,0.863134,5.0,5.0,357.143,1.05945
y_pred[745],-1.35871,0.243367,0.619503,0.439455,-2.33197,-1.16866,-0.793289,5.0,5.0,357.143,1.27204
y_pred[746],-0.839676,0.289566,0.915689,0.63779,-2.3891,-0.630326,0.0601865,5.0,5.0,357.143,1.58204
y_pred[747],-0.765085,0.303702,0.960391,0.534752,-2.07213,-0.814992,0.479142,5.0,5.0,357.143,0.974576
y_pred[748],-1.00664,0.40524,1.14525,1.08228,-2.17862,-1.27848,0.907271,5.0,5.0,357.143,1.13894
y_pred[749],-1.30817,0.349445,1.00888,0.84604,-2.78861,-0.894251,-0.20124,5.0,5.0,357.143,1.13188
y_pred[750],-1.1705,0.191116,0.604361,0.559533,-1.9248,-1.23264,-0.308274,5.0,5.0,357.143,0.940624
y_pred[751],-0.738464,0.287742,0.909921,1.02708,-1.90191,-0.722619,0.456683,5.0,5.0,357.143,0.940624
y_pred[752],-0.89084,0.357051,1.1291,0.863927,-2.39442,-0.836321,0.853761,5.0,5.0,357.143,1.0093
y_pred[753],-1.19098,0.397787,1.06065,1.25349,-2.51002,-1.46572,0.292104,5.0,5.0,357.143,1.4156
y_pred[754],-1.85952,0.356194,1.12638,0.932025,-3.65556,-1.5895,-0.710619,5.0,5.0,357.143,0.895103
